DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M292,Henry Street School for International Studies,High School,255,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,72%,77%,77%,72%,76%,87%,Developing,Developing,Developing,Developing,Developing,1-May-15,2.18,2.06,12.70%,29.80%,1.50%,83.20%,19.00%,66.30%,13.20%,24.40%,56.60%,3.90%,3,66.70%,76.60%,56.80%,97.10%
01M448,University Neighborhood High School,High School,304,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,85%,95%,87%,93%,79%,95%,Well Developed,Proficient,Proficient,Well Developed,Proficient,21-Apr-15,2.27,2.37,19.40%,22.00%,0.30%,81.20%,26.30%,59.90%,29.90%,25.00%,41.10%,3.30%,5.5,69.60%,88.00%,34.70%,97.10%
01M450,East Side Community School,High School,666,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,92%,95%,92%,96%,88%,95%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,26-May-15,2.66,2.63,1.80%,23.40%,0.00%,61.00%,5.70%,44.70%,9.40%,22.10%,57.90%,8.30%,13.8,78.40%,93.80%,16.50%,96.10%
01M509,Marta Valle High School,High School,363,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,86%,76%,81%,69%,70%,82%,Developing,Developing,Developing,Developing,Proficient,8-Jan-15,2.28,2.09,9.10%,28.40%,14.60%,76.70%,14.90%,59.50%,5.80%,39.90%,51.20%,2.50%,1.9,69.00%,76.80%,64.70%,97.10%
01M539,"New Explorations into Science, Technology and Math",High School,1735,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,81%,73%,85%,55%,81%,74%,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,5-Feb-15,3.5,3.53,0.20%,4.30%,0.00%,25.70%,2.90%,26.00%,38.50%,13.30%,18.00%,28.60%,9,60.20%,95.20%,13.00%,96.70%
01M696,Bard High School Early College,High School,545,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,92%,90%,91%,90%,75%,92%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"January 15-16, 2014",3.71,3.65,0.00%,1.10%,0.00%,31.40%,2.00%,17.20%,17.10%,17.20%,18.70%,45.30%,4.8,87.90%,95.80%,6.20%,97.60%
02M047,47 The American Sign Language and English Secondar,High School,169,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,79%,88%,85%,75%,73%,88%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,12-Feb-15,2.4,2.24,4.70%,25.40%,8.30%,73.30%,10.70%,59.20%,1.20%,28.40%,64.50%,5.30%,7,55.00%,88.10%,45.10%,98.30%
02M135,The Urban Assembly School for Emergency Management,High School,193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73%,88%,88%,83%,77%,91%,Proficient,Developing,Proficient,Proficient,Proficient,11-May-15,2.34,2.22,7.30%,19.70%,1.00%,71.30%,12.40%,52.80%,5.70%,28.50%,62.20%,2.60%,2,64.70%,88.30%,34.80%,97.20%
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85%,95%,82%,92%,75%,94%,Proficient,Proficient,Proficient,Well Developed,Well Developed,19-Dec-14,2.3,2.27,7.80%,29.50%,1.60%,71.40%,10.40%,57.50%,3.60%,24.90%,61.10%,8.80%,2,35.30%,88.10%,40.30%,98.80%
02M280,Manhattan Early College School for Advertising,High School,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86%,92%,89%,94%,79%,94%,Proficient,Proficient,Proficient,Well Developed,Proficient,5-May-15,2.6,2.43,1.00%,22.70%,0.00%,55.80%,6.20%,40.20%,7.20%,32.00%,43.30%,15.50%,1,77.80%,93.70%,17.30%,99.10%
