,Unnamed: 0,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school,target
0,0,01M292_2015,ORCHARD COLLEGIATE ACADEMY,63.0,2.18,2.06,77.0,2,83.2,72.0,2,255,13.2,24.4,12.7,66.3,56.6,1.5,29.8,3.9,19.0,19.0,56.8,66.7,2,2,2,2,2,72.0,1,76.0,2,3,76.6,77.0,2,97.1,87.0,3,3.0,0
1,1,01M448_2015,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,82.9,2.27,2.37,95.0,3,81.2,93.0,4,304,29.9,25.0,19.4,59.9,41.1,0.3,22.0,3.3,26.3,26.3,34.7,69.6,3,3,4,4,3,85.0,3,79.0,3,4,88.0,87.0,4,97.1,95.0,4,5.5,1
2,2,01M450_2015,EAST SIDE COMMUNITY SCHOOL,85.2,2.66,2.63,95.0,4,61.0,96.0,4,666,9.4,22.1,1.8,44.7,57.9,0.0,23.4,8.3,5.7,5.7,16.5,78.4,4,3,4,4,4,92.0,4,88.0,4,4,93.8,92.0,4,96.1,95.0,4,13.8,1
3,3,01M509_2015,MARTA VALLE HIGH SCHOOL,44.1,2.28,2.09,76.0,2,76.7,69.0,2,363,5.8,39.9,9.1,59.5,51.2,14.6,28.4,2.5,14.9,14.9,64.7,69.0,3,2,2,2,2,86.0,2,70.0,2,2,76.8,81.0,2,97.1,82.0,2,1.9,0
4,4,01M539_2015,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,97.5,3.5,3.53,73.0,2,25.7,55.0,1,1735,38.5,13.3,0.2,26.0,18.0,0.0,4.3,28.6,2.9,2.9,13.0,60.2,3,4,4,4,4,81.0,4,81.0,2,4,95.2,85.0,3,96.7,74.0,1,9.0,1
5,5,01M696_2015,BARD HIGH SCHOOL EARLY COLLEGE,96.1,3.71,3.65,90.0,4,31.4,90.0,4,545,17.1,17.2,0.0,17.2,18.7,0.0,1.1,45.3,2.0,2.0,6.2,87.9,4,4,4,4,3,92.0,4,75.0,3,4,95.8,91.0,4,97.6,92.0,3,4.8,1
6,6,02M047_2015,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,51.7,2.4,2.24,88.0,4,73.3,75.0,2,169,1.2,28.4,4.7,59.2,64.5,8.3,25.4,5.3,10.7,10.7,45.1,55.0,4,3,4,4,3,79.0,3,73.0,2,3,88.1,85.0,3,98.3,88.0,3,7.0,0
7,7,02M288_2015,FOOD AND FINANCE HIGH SCHOOL,78.8,2.47,2.36,88.0,3,68.7,84.0,3,427,4.7,39.6,3.0,52.5,52.2,0.0,15.7,3.0,8.7,8.7,40.5,77.4,3,4,4,4,3,90.0,4,63.0,1,3,88.5,81.0,3,95.9,88.0,3,11.0,1
8,8,02M294_2015,ESSEX STREET ACADEMY,78.7,2.48,2.25,98.0,4,63.3,97.0,4,358,5.9,38.5,4.2,46.1,41.3,0.3,26.0,11.7,5.6,5.6,31.8,84.0,3,3,4,4,4,91.0,4,79.0,3,3,86.3,88.0,4,97.3,96.0,4,4.9,1
9,9,02M296_2015,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,80.6,2.31,2.25,92.0,4,75.1,91.0,3,424,5.0,21.0,7.8,58.5,71.2,2.8,17.5,1.7,9.0,9.0,42.8,85.7,4,3,3,3,3,88.0,3,73.0,2,3,84.8,85.0,3,97.3,91.0,3,2.8,1
10,10,02M298_2015,PACE HIGH SCHOOL,86.7,2.6,2.47,89.0,4,66.5,87.0,3,423,13.7,28.1,1.2,51.1,45.4,0.2,11.6,1.9,5.7,5.7,20.3,100.0,4,3,4,4,3,91.0,3,71.0,2,3,92.7,88.0,4,97.0,91.0,3,11.0,1
11,11,02M300_2015,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION T,59.3,2.24,2.24,91.0,3,72.6,91.0,4,414,6.0,29.5,6.3,56.3,59.2,1.7,20.8,3.4,11.4,11.4,50.2,53.6,3,3,3,3,3,87.0,3,79.0,3,3,83.0,84.0,3,96.3,93.0,4,6.9,0
12,12,02M303_2015,FACING HISTORY SCHOOL THE,60.4,2.17,2.09,91.0,4,81.1,90.0,4,406,1.7,27.3,19.5,66.5,67.5,0.2,25.1,2.2,13.1,13.1,49.2,66.7,4,3,4,4,3,88.0,3,78.0,3,3,83.0,90.0,4,95.2,94.0,4,3.9,0
13,13,02M305_2015,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW THE,85.7,2.35,2.22,89.0,3,74.9,85.0,3,329,5.8,41.9,3.3,60.8,49.2,0.3,18.8,2.7,14.6,14.6,44.8,39.1,3,2,3,3,3,84.0,2,72.0,2,3,85.9,80.0,2,97.7,91.0,3,1.0,1
