,ID,School Name,Total Grads % of cohort
11,01M292_2015,ORCHARD COLLEGIATE ACADEMY,63.0
58,01M448_2015,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,82.9
110,01M450_2015,EAST SIDE COMMUNITY SCHOOL,85.2
160,01M458_2015,FORSYTH SATELLITE ACADEMY,14.9
197,01M509_2015,MARTA VALLE HIGH SCHOOL,44.1
249,01M515_2015,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,39.8
301,01M539_2015,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,97.5
354,01M650_2015,CASCADES HIGH SCHOOL,26.6
406,01M696_2015,BARD HIGH SCHOOL EARLY COLLEGE,96.1
458,02M047_2015,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,51.7
523,02M288_2015,FOOD AND FINANCE HIGH SCHOOL,78.8
576,02M294_2015,ESSEX STREET ACADEMY,78.7
624,02M296_2015,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,80.6
672,02M298_2015,PACE HIGH SCHOOL,86.7
721,02M300_2015,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION T,59.3
771,02M303_2015,FACING HISTORY SCHOOL THE,60.4
814,02M305_2015,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW THE,85.7
857,02M308_2015,LOWER MANHATTAN ARTS ACADEMY,68.2
901,02M313_2015,JAMES BALDWIN SCHOOL THE: A SCHOOL FOR EXPEDITIONA,43.0
928,02M316_2015,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,76.0
997,02M374_2015,GRAMERCY ARTS HIGH SCHOOL,82.3
1036,02M376_2015,NYC ISCHOOL,98.0
1060,02M392_2015,MANHATTAN BUSINESS ACADEMY,85.9
1085,02M393_2015,BUSINESS OF SPORTS SCHOOL,60.0
1112,02M394_2015,EMMA LAZARUS HIGH SCHOOL,52.5
1149,02M399_2015,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,70.2
1178,02M400_2015,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,79.7
1230,02M407_2015,INSTITUTE FOR COLLABORATIVE EDUCATION,87.1
1281,02M408_2015,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,93.8
1334,02M411_2015,BARUCH COLLEGE CAMPUS HIGH SCHOOL,99.0
1386,02M412_2015,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,96.3
1438,02M413_2015,SCHOOL OF THE FUTURE HIGH SCHOOL,93.3
1490,02M414_2015,NYC MUSEUM SCHOOL,99.1
1542,02M416_2015,ELEANOR ROOSEVELT HIGH SCHOOL,100.0
1595,02M418_2015,MILLENNIUM HIGH SCHOOL,98.0
1643,02M419_2015,LANDMARK HIGH SCHOOL,40.4
1695,02M420_2015,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,85.7
1738,02M425_2015,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,59.9
1742,02M422_2015,QUEST TO LEARN,
1807,02M427_2015,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,48.9
1831,02M429_2015,LEGACY SCHOOL FOR INTEGRATED STUDIES,63.2
1877,02M432_2015,MURRAY HILL ACADEMY,63.3
1897,02M437_2015,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,65.0
1919,02M438_2015,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,48.7
1948,02M439_2015,MANHATTAN VILLAGE ACADEMY,97.5
2047,02M449_2015,VANGUARD HIGH SCHOOL,71.3
2099,02M459_2015,MANHATTAN INTERNATIONAL HIGH SCHOOL,65.7
2148,02M460_2015,WASHINGTON IRVING HS,50.6
2198,02M475_2015,STUYVESANT HIGH SCHOOL,96.3
2250,02M489_2015,HIGH SCHOOL OF ECONOMICS AND FINANCE,67.8
2302,02M500_2015,UNITY CENTER FOR URBAN TECHNOLOGIES,78.6
2349,02M507_2015,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,83.8
2374,02M519_2015,TALENT UNLIMITED HIGH SCHOOL,94.0
2426,02M520_2015,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,45.5
2478,02M529_2015,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,62.8
2530,02M531_2015,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,100.0
2577,02M533_2015,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,
2589,02M534_2015,HARVEST COLLEGIATE HIGH SCHOOL,
