,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,DBN,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Overage/ Undercredited,Percent Overage/Undercredited,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - Dates of Review,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school allocate and manage resources?,Quality Review - How well does the school assess what students are learning?,"Quality Review - How well does the school identify, track, and meet its goals?",Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,School Name_y,School Type,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
0,01M292_2015,ORCHARD COLLEGIATE ACADEMY,63.0,2.18,2.06,77%,Approaching Target,01M292,83.20%,72%,Approaching Target,255,13.20%,24.40%,12.70%,66.30%,56.60%,,,1.50%,29.80%,3.90%,,19.00%,56.80%,66.70%,1-May-15,Developing,Developing,Developing,,,,Developing,,Developing,,72%,Not Meeting Target,Henry Street School for International Studies,High School,76%,Approaching Target,Meeting Target,76.60%,77%,Approaching Target,97.10%,87%,Meeting Target,3.0
1,01M448_2015,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,82.9,2.27,2.37,95%,Meeting Target,01M448,81.20%,93%,Exceeding Target,304,29.90%,25.00%,19.40%,59.90%,41.10%,,,0.30%,22.00%,3.30%,,26.30%,34.70%,69.60%,21-Apr-15,Proficient,Proficient,Well Developed,,,,Well Developed,,Proficient,,85%,Meeting Target,University Neighborhood High School,High School,79%,Meeting Target,Exceeding Target,88.00%,87%,Exceeding Target,97.10%,95%,Exceeding Target,5.5
2,01M450_2015,EAST SIDE COMMUNITY SCHOOL,85.2,2.66,2.63,95%,Exceeding Target,01M450,61.00%,96%,Exceeding Target,666,9.40%,22.10%,1.80%,44.70%,57.90%,,,0.00%,23.40%,8.30%,,5.70%,16.50%,78.40%,26-May-15,Well Developed,Proficient,Well Developed,,,,Well Developed,,Well Developed,,92%,Exceeding Target,East Side Community School,High School,88%,Exceeding Target,Exceeding Target,93.80%,92%,Exceeding Target,96.10%,95%,Exceeding Target,13.8
3,01M509_2015,MARTA VALLE HIGH SCHOOL,44.1,2.28,2.09,76%,Approaching Target,01M509,76.70%,69%,Approaching Target,363,5.80%,39.90%,9.10%,59.50%,51.20%,,,14.60%,28.40%,2.50%,,14.90%,64.70%,69.00%,8-Jan-15,Proficient,Developing,Developing,,,,Developing,,Developing,,86%,Approaching Target,Marta Valle High School,High School,70%,Approaching Target,Approaching Target,76.80%,81%,Approaching Target,97.10%,82%,Approaching Target,1.9
4,01M539_2015,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,97.5,3.5,3.53,73%,Approaching Target,01M539,25.70%,55%,Not Meeting Target,1735,38.50%,13.30%,0.20%,26.00%,18.00%,,,0.00%,4.30%,28.60%,,2.90%,13.00%,60.20%,5-Feb-15,Proficient,Well Developed,Well Developed,,,,Well Developed,,Well Developed,,81%,Exceeding Target,"New Explorations into Science, Technology and Math",High School,81%,Approaching Target,Exceeding Target,95.20%,85%,Meeting Target,96.70%,74%,Not Meeting Target,9.0
5,01M696_2015,BARD HIGH SCHOOL EARLY COLLEGE,96.1,3.71,3.65,90%,Exceeding Target,01M696,31.40%,90%,Exceeding Target,545,17.10%,17.20%,0.00%,17.20%,18.70%,,,0.00%,1.10%,45.30%,,2.00%,6.20%,87.90%,"January 15-16, 2014",Well Developed,Well Developed,Well Developed,,,,Well Developed,,Proficient,,92%,Exceeding Target,Bard High School Early College,High School,75%,Meeting Target,Exceeding Target,95.80%,91%,Exceeding Target,97.60%,92%,Meeting Target,4.8
6,02M047_2015,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,51.7,2.4,2.24,88%,Exceeding Target,02M047,73.30%,75%,Approaching Target,169,1.20%,28.40%,4.70%,59.20%,64.50%,,,8.30%,25.40%,5.30%,,10.70%,45.10%,55.00%,12-Feb-15,Well Developed,Proficient,Well Developed,,,,Well Developed,,Proficient,,79%,Meeting Target,47 The American Sign Language and English Secondar,High School,73%,Approaching Target,Meeting Target,88.10%,85%,Meeting Target,98.30%,88%,Meeting Target,7.0
7,02M288_2015,FOOD AND FINANCE HIGH SCHOOL,78.8,2.47,2.36,88%,Meeting Target,02M288,68.70%,84%,Meeting Target,427,4.70%,39.60%,3.00%,52.50%,52.20%,,,0.00%,15.70%,3.00%,,8.70%,40.50%,77.40%,4-Mar-15,Proficient,Well Developed,Well Developed,,,,Well Developed,,Proficient,,90%,Exceeding Target,Food and Finance High School,High School,63%,Not Meeting Target,Meeting Target,88.50%,81%,Meeting Target,95.90%,88%,Meeting Target,11.0
8,02M294_2015,ESSEX STREET ACADEMY,78.7,2.48,2.25,98%,Exceeding Target,02M294,63.30%,97%,Exceeding Target,358,5.90%,38.50%,4.20%,46.10%,41.30%,,,0.30%,26.00%,11.70%,,5.60%,31.80%,84.00%,"March 3-4, 2014",Proficient,Proficient,Well Developed,,,,Well Developed,,Well Developed,,91%,Exceeding Target,Essex Street Academy,High School,79%,Meeting Target,Meeting Target,86.30%,88%,Exceeding Target,97.30%,96%,Exceeding Target,4.9
9,02M296_2015,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,80.6,2.31,2.25,92%,Exceeding Target,02M296,75.10%,91%,Meeting Target,424,5.00%,21.00%,7.80%,58.50%,71.20%,,,2.80%,17.50%,1.70%,,9.00%,42.80%,85.70%,11-Feb-15,Well Developed,Proficient,Proficient,,,,Proficient,,Proficient,,88%,Meeting Target,High School of Hospitality Management,High School,73%,Approaching Target,Meeting Target,84.80%,85%,Meeting Target,97.30%,91%,Meeting Target,2.8
